SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
GOODLUCK, EQ, 08-Jan-2018, 102.75, 104.80, 123.30, 103.70, 109.80, 109.65, 109.80, 1066357, 1170.82, 13789, 603541, 56.60
GPIL, EQ, 08-Jan-2018, 410.80, 431.30, 431.30, 425.00, 431.30, 431.30, 430.46, 326757, 1406.55, 2220, 207430, 63.48
GPPL, EQ, 08-Jan-2018, 137.30, 138.45, 139.00, 136.10, 136.45, 136.40, 136.88, 2001018, 2739.03, 10461, 1853760, 92.64
GPTINFRA, EQ, 08-Jan-2018, 200.45, 202.30, 212.50, 202.20, 209.00, 209.00, 208.06, 77169, 160.56, 1817, 38192, 49.49
GRANULES, EQ, 08-Jan-2018, 139.45, 138.05, 142.45, 138.05, 139.90, 140.05, 140.68, 2112691, 2972.06, 12536, 737141, 34.89
GRAPHITE, EQ, 08-Jan-2018, 812.60, 835.50, 853.20, 831.30, 853.20, 851.05, 846.72, 2511473, 21265.25, 50042, 859727, 34.23
GRASIM, EQ, 08-Jan-2018, 1214.20, 1213.00, 1215.50, 1190.00, 1206.20, 1203.00, 1201.90, 895318, 10760.81, 44608, 548502, 61.26
GRAVITA, EQ, 08-Jan-2018, 176.00, 179.00, 186.00, 177.20, 182.30, 182.30, 182.33, 931102, 1697.64, 9005, 405528, 43.55
GREAVESCOT, EQ, 08-Jan-2018, 141.45, 143.00, 147.90, 142.35, 144.65, 145.80, 144.87, 3532735, 5117.97, 26065, 2183171, 61.80
GREENLAM, EQ, 08-Jan-2018, 1266.40, 1228.40, 1300.00, 1210.00, 1300.00, 1299.05, 1283.95, 3203, 41.12, 244, 2159, 67.41
GREENPLY, EQ, 08-Jan-2018, 371.25, 379.90, 385.35, 370.35, 377.25, 380.65, 375.42, 486869, 1827.80, 3267, 411265, 84.47
GREENPOWER, EQ, 08-Jan-2018, 14.60, 15.00, 15.20, 14.10, 14.75, 14.70, 14.76, 1856329, 273.91, 3958, 960231, 51.73
GRETEX, SM, 08-Jan-2018, 17.70, 16.00, 16.00, 14.70, 14.70, 14.70, 15.35, 12000, 1.84, 2, 12000, 100.00
GRINDWELL, EQ, 08-Jan-2018, 556.75, 560.00, 560.00, 550.00, 550.00, 550.25, 554.70, 64520, 357.89, 568, 56217, 87.13
GROBTEA, EQ, 08-Jan-2018, 1778.70, 1867.60, 1867.60, 1696.60, 1867.60, 1867.60, 1862.45, 1954, 36.39, 165, 1701, 87.05
GRPLTD, EQ, 08-Jan-2018, 1683.35, 1720.00, 1720.00, 1680.05, 1700.00, 1697.95, 1698.15, 4051, 68.79, 279, 3506, 86.55
GRUH, EQ, 08-Jan-2018, 500.40, 502.00, 505.00, 498.50, 500.00, 502.00, 501.49, 147829, 741.35, 9687, 86384, 58.44
GSCLCEMENT, EQ, 08-Jan-2018, 38.15, 39.25, 39.25, 36.95, 37.55, 37.80, 38.01, 153372, 58.29, 652, 99111, 64.62
GSFC, EQ, 08-Jan-2018, 154.30, 154.30, 155.85, 153.20, 154.35, 153.75, 154.46, 1181652, 1825.13, 6645, 468682, 39.66
GSKCONS, EQ, 08-Jan-2018, 6398.45, 6380.00, 6427.95, 6349.00, 6400.00, 6358.80, 6376.50, 30084, 1918.31, 2707, 26076, 86.68
GSPL, EQ, 08-Jan-2018, 223.00, 225.50, 227.00, 221.50, 222.10, 222.15, 223.33, 233903, 522.39, 4218, 141165, 60.35
GSS, EQ, 08-Jan-2018, 32.60, 32.75, 37.95, 31.60, 36.25, 36.35, 35.74, 1699708, 607.55, 4993, 745893, 43.88
GTL, EQ, 08-Jan-2018, 18.70, 19.00, 19.00, 18.10, 18.10, 18.20, 18.45, 671133, 123.84, 1665, 324070, 48.29
GTLINFRA, EQ, 08-Jan-2018, 7.45, 7.55, 7.65, 7.25, 7.30, 7.25, 7.40, 10792121, 799.10, 4131, 5488773, 50.86
GTNIND, EQ, 08-Jan-2018, 19.60, 20.90, 21.55, 20.50, 20.75, 20.90, 21.00, 94060, 19.75, 323, 65792, 69.95
